Name,ID,Ratings,Windows,Web,Mac,Linux
Pong v1.4.dev,689097,13,True,False,False,False
Take the Wheels!,696092,32,True,False,False,False
Herding Chickens,697355,24,False,True,False,False
Not Responsive,694459,18,True,False,False,False
Skyhigh Saboteur,694314,14,True,False,False,False
Board Out Of Control,698043,8,True,False,True,True
Laggy Racing,694855,27,True,True,False,False
Card Rogue,693875,180,False,True,False,False
Werewolf Game Prototype,695070,62,False,True,False,False
Exponentia,698736,8,True,False,True,True
Rhythm Curse,695136,39,False,True,False,False
Pulse,695595,8,True,False,False,False
Laggy Bones,700810,30,True,False,False,False
Ricochet,698799,10,True,False,False,False
International Slice Station,697339,7,False,False,False,False
Torpedoh!,698423,8,False,False,False,False
Box Portals,697395,16,True,True,False,False
The New: Golf 2,697325,22,True,True,False,False
lost control - zombie edition,696820,139,False,True,False,False
Supercritical,694930,24,True,False,True,False
Control Chamber,695576,15,True,False,False,True
Keep Your Cool,695892,11,True,False,False,False
Wolf in Shepherd's Clothing,695289,12,True,False,False,False
Feed Me,696332,30,True,True,False,False
Granpa is out of control,696233,9,False,False,False,False
Tokyo Control Tower,697589,17,True,True,True,True
Binding of Keys,693052,33,False,True,False,False
Swarm Shot,694225,10,False,False,False,False
Manual Revolution,700064,9,True,False,False,False
KIRU,697079,37,True,False,False,True
Super Smashed Bro,694505,26,False,True,False,False
The Revolution(Prototype),638564,9,True,False,False,False
Out of Control TD,698178,25,False,True,False,False
Turn to Land,695158,15,False,True,False,False
contumacious quest,697628,17,False,True,False,False
Aimless,700163,8,True,False,False,False
Chess Dungeon,697808,32,False,True,False,False
Parasites On 0Z-9B,700736,8,True,False,False,False
Protect The Dragon,697198,8,True,False,False,False
Out of CTRL - WebGL in Description,699156,10,True,False,False,False
Zone of No Control,700234,27,False,True,False,False
Ferret Highway,696018,11,True,False,False,False
Candle Light,698363,13,True,False,False,False
Legs Outta Line,696303,10,True,False,False,False
Disarm Bomb,696973,8,True,False,False,False
Lost in the Dark,697824,12,True,False,False,False
Adrift,699337,71,True,True,False,False
Random Playing Game,694068,124,False,True,False,False
TURTLNATOR,696226,27,False,True,False,False
Joyful Drift,694292,10,False,False,False,False
Switch Case,700226,8,True,False,False,False
My Friend is a Zombie,699686,16,False,False,False,False
Monster Vs Mercenaries,694504,8,True,False,False,False
Switchboard,697921,8,False,False,False,False
Plastic Cave Adventure 2,700100,11,True,False,False,False
Sweet Tooth,697873,8,True,False,False,False
OverGrowth,696055,21,True,False,False,False
"Boy, you are out of control",696806,40,True,False,False,False
Chaos Pinball,695917,13,True,False,False,False
"Another day, another argument",697874,16,False,True,False,False
BOUNCE,697757,31,False,True,False,False
No Kontrol!,700050,8,True,False,False,False
Shrapnel Shooter,695049,11,True,False,True,True
PanicAtTheLab,699132,14,True,False,False,False
Hackin'Time,699152,15,True,False,True,False
CTRL_,693152,29,False,True,False,False
Wrath,700292,14,False,True,False,False
Spinning Out Of Control,700683,11,True,False,False,False
Without A Paddle,696899,16,False,False,False,False
The Control Boxes Are Broken,696129,16,False,True,False,False
Slippery Sheep,699199,26,True,True,False,False
Shooting: AUTO,699499,40,True,True,False,False
Magu,698039,32,False,True,False,False
Unfinished Mess,697906,8,True,False,False,False
Caecus' Quest,696660,9,True,False,True,False
Heart Break Game Jam VER,699992,27,False,True,False,False
Cross Car-Nage,693446,22,True,True,False,False
AttackOnBaby,696981,9,False,False,False,False
Running out of Control Fuel,696464,23,False,True,False,False
Newton's Apple Fall,697869,26,False,True,False,False
ProlifiCrops: Carrot Fever,693091,22,True,True,False,False
Wander Guy,696328,8,False,False,False,False
Randomizer 3000 (GMTK Jam 2020),698136,11,True,False,False,False
Viral Wave,697216,12,True,False,True,True
Counting Days,698994,10,True,False,False,False
Shell Shock,694538,8,True,False,False,False
Confused,697814,21,False,False,False,False
Bad Trip,695943,19,False,True,False,False
CrocHead,695669,19,False,True,False,False
Human Cool Party,697519,8,False,False,False,False
Out of Control,696827,13,True,False,False,False
HCKD,699163,89,False,True,False,False
Boink,695368,12,True,False,True,False
To Play or Not to Play!,693795,13,True,False,False,False
S.S.O.S.,698288,14,True,False,False,False
Hack Out,699051,8,True,False,False,False
The Sins: Outta Control!,698598,16,True,False,False,False
60Seconds:RocketLaunch (GMTK2020),697096,23,True,True,True,True
No Control,695043,207,True,True,False,False
Leadfoot,698036,11,True,False,False,False
Brisk OOC,699100,10,True,False,False,False
Lost Satellite,697598,59,False,True,False,False
The Fearful Sheep,698154,10,True,False,False,False
Blob Quarters,699284,22,True,False,False,False
TUNNEL X-80C,695134,21,False,True,False,False
The Cowardly Hero,698131,21,True,True,True,False
Boost,696800,8,True,False,False,False
get out of CONTROL INC,699997,11,False,False,False,False
Kleptomancy: All or Nothing,696231,8,True,False,False,False
Plague Overflow,696723,52,True,False,True,False
Forest Fire,698943,11,True,False,False,False
Mulish malitia,692940,13,False,False,False,False
Impressionist Movement: Gasoline on Canvas,694878,12,True,False,False,False
Work With Me Here,696788,63,True,False,False,False
Racem'n,699134,8,False,False,False,False
ShootToMove,699949,19,False,True,False,False
Brakes Optional,699403,8,True,False,True,False
Quack Attuack,694665,15,False,True,False,False
Spacetime for Felines,695051,32,True,False,False,False
The Oasis,696839,24,True,True,False,False
"I, a Witch, brought a malfunctioning broom to my Broom Driver License test and now everything is a mess and I wanna cry",698092,8,False,False,False,False
ZenControl,694476,0,True,False,False,False
They Hatched,696085,16,True,False,False,False
Blastius - GameJam2020,697607,30,True,False,False,False
Cauldron Chaos,690555,22,True,True,False,True
Bounce,699593,38,False,True,False,False
Ignite Bike,694286,27,False,True,False,False
This Is Just Life,695739,20,False,True,False,False
The Republic of Kontrolistan,700888,19,False,True,False,False
Out of Controls!,695001,8,True,False,False,False
Advance Earth Guard,699595,11,True,False,False,False
Crazy Sheep!,696010,26,False,True,False,False
Trigger Happy,694674,26,False,True,False,False
UpSideDown,698711,7,False,False,False,False
BOX-BUX (Grace),700802,15,False,True,False,False
Cheoss,697756,50,False,True,False,False
Diminishing Returns,696982,15,False,True,False,False
Space War,694693,30,True,True,False,False
Bready... Set... Duck,695823,94,True,True,False,False
DinoEatsHorseMaybe,700111,11,True,False,False,False
Superslide,672866,53,False,True,False,False
A Dungeon Called Control,696550,8,True,False,False,False
Shituation Out of Control,694963,51,False,True,False,False
CATastrophy,698783,23,True,False,False,False
Press SPACE,696768,37,True,False,False,False
100% Control,697338,8,True,False,True,True
Saboteur Stocks,698140,9,True,False,False,False
ControlUnit,697351,8,True,False,False,False
Suicide Switch,695692,31,False,True,False,False
Tiles,693251,33,False,False,False,False
Beyond Control,700172,12,True,False,False,False
Can't catch me!,696910,50,False,True,False,False
"Go Little Cube, Go",698553,23,True,False,False,False
Goobers - GMTK2020 Jam game,696449,15,False,False,False,False
Robo-Jam,698240,11,True,False,False,False
KAVOUT,698419,10,True,False,False,False
Balloon Fishing,698759,16,False,True,False,False
Key Hit,693459,62,True,True,False,False
Totally Legit Meap Packing Co.,698936,8,True,False,False,False
The Flood,699661,21,True,True,False,False
Digi Drive,698529,10,True,False,False,False
JumBean's Great Escape,697358,40,True,True,False,False
Deck of 2020,697622,9,True,False,False,False
Squiggly: Unleashed,696038,14,True,False,True,False
Help I dropped my laptop and my steam library got mixed what do I do,696491,59,False,True,False,False
Trim the sheeps !,696115,22,True,False,False,False
Break it through,697485,15,True,False,False,False
