Name,ID,Ratings
The Attack Of Furniture,697698,4
Submarine-Out of Control,698670,15
Safe Passage,697616,23
Balance It,698023,16
Run Away Flame,696567,15
Discount Tower,695056,9
Broken Controller,693735,21
Losing Control,699485,6
Stop at the Shop,693869,9
Buss go boom,698817,4
Camo Guy,700102,5
Aeroplane (GMTK),696940,6
Deep Breaths,694699,10
Krazy Kourses,699991,10
A Relaxing Summer Job,699379,6
MALWARE,699909,7
Mission Control,700743,17
Oliver's Weekend,698404,5
Dragonfly,698836,3
Out of Control (Gmtk jam),693215,4
Not You Mary Lu,694903,10
Long March,699858,8
UNSTABLE Derpy Slimey Alien Robot (from outer space),697604,7
Crazy Sweet,688733,18
Kickstarter,700026,15
Operator,700793,8
Go Go Stadium,699601,17
stopn't,696136,14
Aimless,693954,15
Confined,698984,8
Jerkel Drive,699253,23
dreadshot,697742,12
a2b,696482,10
The Floor Is Out Of Control,694446,12
Chaotic Adventures of John Pipka,699959,6
Speedy Boy Goes Quick,699615,8
Whirlwind Barb,699557,10
Eclipse,698059,30
Bad game.,699808,4
A Shift from Control,695218,4
Tanks... I'm out of control!,696064,5
The Witch Yona,700524,11
Invasive Species,695895,18
Mystletainn,696327,12
Cosmic Pilot,698748,4
Bleeding Degrees,699665,9
Hacking Mercenary (GAME BROKEN),697223,4
Brisk OOC,699100,6
Windman,697822,18
BitBoy: Out of Control,698631,4
Night Walk,699898,16
Help My Robot Shooter Broke Their Arm During The Robot Olympics And Now It Can't Aim Properly,695742,7
The Cold Climb,696885,5
#SquadGoals,693310,7
Captain! Buttons are running free!,695916,7
Production Panic,697233,11
lloosstt,696461,3
Problem Child,695594,4
Overheat,695400,16
Nim's Frustrating Adventure,696695,25
Chaos Bowling,699001,7
Win Out Of Control,698923,5
Pop the Posh,699515,6
קאָנטראָל,694273,13
Auto-UnAim,697274,11
I-HAMMER,697952,7
Hyper Descent,698873,20
Superslide,672866,37
Do Not Lose Control,697151,8
Railway Frenzy (GMTK Jam 2020),699126,8
You Must Learn Control! [GMTK20],696261,11
Random Playing Game,694068,76
Factory Run,700856,6
Chaos Solitaire,693284,27
Out of milk,694209,16
Middle Management,695330,13
Colonize 2593,698062,12
Alphabet,693984,16
Crumble Canyon,698271,6
The Benevolent Black Hole,697821,4
Chaos Gun,697202,4
Captain Collateral,693366,13
Five Seconds Till Doom,696776,25
BlackberryDungeon,699119,5
Car Control,700204,15
Arsonists Dilemma,699319,12
Anomaly,696443,22
A game that needs two players,698934,3
Untitled Zombie Game,696393,14
Help Me!,697747,12
Shock Control,697256,6
GODLIKE,695185,10
Second hand,694255,15
Mimic Garden,697705,9
Hectic Harvest,696653,4
Gun Control,693772,21
Under Control,695537,8
Mindfulness,695315,5
SHAFT (GMTK Game Jam 2020),698580,5
Keep Control,700265,3
Thermal Runway,699486,17
My Micro Addiction,699101,6
"Maybe, it's broken",698486,33
Jimmy's funky sneakers,697490,8
Space Slugger,693675,7
Crash!,697049,12
Space-Slime Continuum,698717,4
Meme Makin' Monkeys! (Unfinished GMTK jam game),693387,9
Blueberry Jammed,694557,7
Stagemaster,700466,7
The Gardener and the Wild Vine,696966,12
OverRun!,698509,14
Shrapnel Shooter,695049,8
let's drink　beerbeer,699944,14
Two,697716,6
Please Sine Here,699651,8
Witch's Whim,698074,17
Drifter,698706,4
Maze Drifter - GMTK Jam 2020,696175,7
Out of Control,696095,24
Gohdil: Legend of the Ferrum,697012,25
Wild Wild Zoo,693530,10
Overgrowth Valley,700319,9
Ravaging Skies,698549,14
maelstrom.exe,698918,32
Rush's Night,700664,6
*ACHOO*... 'scuse me,698716,4
Catnip,699914,12
Cleaning Squad,693602,4
Crazy Cow Farm,696507,4
Oliver Plays The Labyrinth,699162,11
M For Mature,695899,18
OFFLINE!,698393,11
MeltDown,693182,20
FireFlyer,697946,4
Help! I can't control my gun!,696791,22
Coercive Mind,697531,6
Disaster Island,700371,4
Gagarin: Singularity,699084,19
Out of Control,698339,4
Antivirus Intern,697916,21
Cartel,694825,36
Chimpanzee Craze,694399,5
Relevel,698845,24
Markbot,696208,42
Key Drifter,694915,9
Mutation: Genetics Out of Control,697565,4
Lucent (GAME JAM version),700860,13
Tower Drunkfense,695964,4
Doggoarigato Spherical Cato,697534,11
Lose Control,695471,7
TOTAL CONTROL,699596,4
Swat Commander,700019,23
Don't Panic!,694691,18
Switch In Control,694015,4
Murder Burger,700146,4
Good Boy: Unleashed,697322,68
Spacetime for Felines,695051,9
Infestation,699452,8
Actions Per Gallon,698061,4
Glitching Platform,697881,6
Dead of the Living Night,694332,7
Out of Sight Out of Mind,695819,18
Tasty Flan,697205,7
Out of Controls,696412,11
Spontaneous Automation,693071,20
TAZERACE,698874,5
Feed Me,696332,14
Super Bomberbot and the Infinite Factory,695262,18
Cursed Cursor,694710,15
Space Bail,697499,7
Clumsy Rob,700612,3
Vice Versa,697654,4
SHUT_DOWN.exe,698498,4
WHOOPS!ALL GAS!,694814,16
DudelRush,698721,24
Too Few Switches,697408,30
Lil XXX Wrld,697731,13
A Game out of Control,698080,4
Robo On the Run,698886,7
upLink.exe,700006,8
Coop Chaos,694274,15
Turret Malfunction,696678,22
The Broken System,698352,14
LOOTSHOT,697300,13
Pebble,697418,4
Others,683457,11
El Noche,700876,12
Defend the Rock,696787,5
NotSo Spacey,700442,4
Chaos Shuffle,699754,7
DiscFeelings,698371,10
Bad Trip,695943,11
Some Habits..,697638,10
Hexadecimate (BROKEN),699613,8
Untitled fire game,695837,7
Drunkzard's Quest,697486,6
Humanity Deep,699822,17
Urgash the Barbarian Golfer,698814,6
Soap!,694989,6
Sillp,696290,14
Thou Shalt Not Kill,694373,15
Farm Invaders,700906,3
Rotation,699773,7
slidegun.,698431,5
Deckgeon,698436,6
VEUS,695989,6
DUCK TRAIL'S!!!!,698599,15
Out of a nightmare,696371,6
Outside the box,698282,5
Retro Rampage,699331,9
Sumo Smash Chonks,699236,11
Robo Bomb,699791,5
Exploding Root Sweeper,694322,20
Potion Rush,698779,30
Entropy,698206,5
Retro City Rush,699565,4
PunchyShooty,697344,13
FIRE! FIRE! (GMTK Game Jam 2020),696958,12
Ricochet Switch,694734,4
Uncontrolled Burn,699533,23
Pandora's Run,698283,4
Requesting Permission to Not Die,698338,60
It is not a game ok.,396748,7
Arkey,699868,4
THE CONTROL TOLL,696633,19
Robo Rush,699945,3
IbeganToLoseCTRL,695966,17
Spinshot,694498,10
Control OutOfControl,699564,3
SpiderAttack,698398,6
Brakes?,700063,16
Oh My Guts!,694447,13
Suvivor: Priority 1,696334,6
Driveby,699870,12
Nut&amp;Go,693058,7
Anger Management is Harder to Control in a Dungeon,699611,8
Operation FUBAR,697317,11
bird momma,699904,3
The Pandora Key,696959,4
Pneumokon,693966,15
GAF -GMTK2020,700076,4
Your Mind,700305,3
Ticker,697133,9
LIFO,696145,10
Rich simulator,693016,39
Wild Ball,696118,4
KeyBound,697573,4
The Worst Party: A Healers Tale,701126,15
just a failed Tetris clone,699782,3
Hack Fury,695446,10
Curse of the Cursor,696000,21
